"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"28140","NUCB2","ERAP1",0.333333333333333,"VECs",0.00862068965517241,"SMCs","other"
"25865","MMP1","CD44",0.0196078431372549,"VECs",0.146551724137931,"SMCs","other"
"3789","TGFB3","TGFBR2",0.0156862745098039,"VECs",0.183098591549296,"Fibroblasts","growth factor"
"30368","PSEN1","CD44",0.0422535211267606,"Fibroblasts",0.0679738562091503,"VECs","other"
"7036","CALR","LRP1",0.869281045751634,"VECs",0.0033003300330033,"T cells","other"
"17127","GNAI2","CAV1",0.138613861386139,"T cells",0.0206896551724138,"NK cells","other"
"325611","IL10","IL10RA",0.0137931034482759,"NK cells",0.207920792079208,"T cells","cytokine"
"30408","PSEN1","NOTCH1",0.0206896551724138,"NK cells",0.138562091503268,"VECs","other"
"38091","VCAN","TLR1",0.52112676056338,"Fibroblasts",0.0055005500550055,"T cells","other"
"11299","DCN","ERBB4",1.01724137931034,"SMCs",0.0028169014084507,"Fibroblasts","other"
"11324","DCN","MET",1.01724137931034,"SMCs",0.0028169014084507,"Fibroblasts","other"
"17824","GNAS","ADCY9",0.508620689655172,"SMCs",0.00563380281690141,"Fibroblasts","other"
"17924","GNAS","PTGDR",0.508620689655172,"SMCs",0.00563380281690141,"Fibroblasts","other"
"17999","GNAS","VIPR1",0.508620689655172,"SMCs",0.00563380281690141,"Fibroblasts","other"
"32645","SELPLG","ESAM",0.00563380281690141,"Fibroblasts",0.508620689655172,"SMCs","other"
"17811","GNAS","ADCY9",0.650980392156863,"VECs",0.0044004400440044,"T cells","other"
"8421","COL18A1","KDR",1.30172413793103,"SMCs",0.0022002200220022,"T cells","other"
"25441","MDK","PTPRB",0.371830985915493,"Fibroblasts",0.0077007700770077,"T cells","other"
"2669","PDGFA","PDGFRB",0.0140845070422535,"Fibroblasts",0.202816901408451,"Fibroblasts","growth factor"
"3919","VEGFA","GPC1",0.0507042253521127,"Fibroblasts",0.0563380281690141,"Fibroblasts","growth factor"
"268811","CXCL12","CXCR3",0.728104575163399,"VECs",0.00392156862745098,"VECs","cytokine"
"22937","LAMA5","ITGA6",0.124183006535948,"VECs",0.0229885057471264,"NK cells","other"
"5297","CALM1","ABCA1",1.24137931034483,"SMCs",0.00229885057471264,"NK cells","other"
"5647","CALM1","KCNN4",1.24137931034483,"SMCs",0.00229885057471264,"NK cells","other"
"5722","CALM1","KCNQ5",1.24137931034483,"SMCs",0.00229885057471264,"NK cells","other"
"5822","CALM1","PDE1A",1.24137931034483,"SMCs",0.00229885057471264,"NK cells","other"
"5847","CALM1","PDE1B",1.24137931034483,"SMCs",0.00229885057471264,"NK cells","other"
"14722","FBN1","ITGA5",0.0689655172413793,"SMCs",0.0413793103448276,"NK cells","other"
"19672","HRAS","CAV1",0.137931034482759,"SMCs",0.0206896551724138,"NK cells","other"
"28147","NUCB2","ERAP1",0.103448275862069,"SMCs",0.0275862068965517,"NK cells","other"
"32210","RTN4","LINGO1",0.331034482758621,"NK cells",0.00862068965517241,"SMCs","other"
"32235","RTN4","NGFR",0.331034482758621,"NK cells",0.00862068965517241,"SMCs","other"
"33332","SEMA4D","CD72",0.0827586206896552,"NK cells",0.0344827586206897,"NK cells","other"
"33410","SEMA4D","PLXNB1",0.0827586206896552,"NK cells",0.0344827586206897,"SMCs","other"
"3331","TGFB1","CD109",0.324137931034483,"NK cells",0.0088008800880088,"T cells","growth factor"
"23228","LAMB2","RPSA",0.0011001100110011,"T cells",2.5921568627451,"VECs","other"
"10259","COL6A2","ITGA2",0.0505747126436782,"NK cells",0.0563380281690141,"Fibroblasts","other"
"22817","LAMA4","ITGAV",0.247887323943662,"Fibroblasts",0.0114942528735632,"NK cells","other"
"7046","CALR","LRP1",0.862068965517241,"SMCs",0.0033003300330033,"T cells","other"
"35605","TGM2","SDC4",0.0132013201320132,"T cells",0.21551724137931,"SMCs","other"
"374510","BMP5","ACVR1",0.109859154929577,"Fibroblasts",0.0258620689655172,"SMCs","other"
"21324","INHBA","ACVR1",0.112068965517241,"SMCs",0.0253521126760563,"Fibroblasts","other"
"41951","BMP7","ENG",0.00845070422535211,"Fibroblasts",0.336206896551724,"SMCs","other"
"8523","COL1A1","DDR1",0.724137931034483,"SMCs",0.00392156862745098,"VECs","other"
"35040","SPP1","ITGA4",0.164705882352941,"VECs",0.0172413793103448,"SMCs","other"
"35165","SPP1","S1PR1",0.164705882352941,"VECs",0.0172413793103448,"SMCs","other"
"42372","IL1B","ADRB2",0.0209150326797386,"VECs",0.135632183908046,"NK cells","cytokine"
"21422","INHBA","BAMBI",0.112068965517241,"SMCs",0.0252873563218391,"NK cells","other"
"8381","COL18A1","ITGB1",0.00919540229885057,"NK cells",0.308030803080308,"T cells","other"
"24031","LGALS3BP","ITGB1",0.00919540229885057,"NK cells",0.308030803080308,"T cells","other"
"36709","TNFSF10","TNFRSF10B",0.0528735632183908,"NK cells",0.0535211267605634,"Fibroblasts","other"
"10888","CSF3","CSF1R",1.08235294117647,"VECs",0.00261437908496732,"VECs","other"
"11964","DLL4","NOTCH3",0.125490196078431,"VECs",0.0225352112676056,"Fibroblasts","other"
"200410","APOE","SORL1",0.0836083608360836,"T cells",0.0338028169014084,"Fibroblasts","other"
"202910","APOE","VLDLR",0.0836083608360836,"T cells",0.0338028169014084,"Fibroblasts","other"
"179111","CCL4","CCR5",0.107042253521127,"Fibroblasts",0.0264026402640264,"T cells","cytokine"
"15286","FN1","C5AR1",0.513725490196078,"VECs",0.0055005500550055,"T cells","other"
"10194","COL6A1","ITGA6",1.00281690140845,"Fibroblasts",0.0028169014084507,"Fibroblasts","other"
"25325","MDK","ITGA4",0.163793103448276,"SMCs",0.0172413793103448,"SMCs","other"
"25450","MDK","PTPRB",0.163793103448276,"SMCs",0.0172413793103448,"SMCs","other"
"25575","MDK","TSPAN1",0.163793103448276,"SMCs",0.0172413793103448,"SMCs","other"
"34756","SLPI","CD4",0.0413793103448276,"NK cells",0.0682068206820682,"T cells","other"
"217310","APP","LRP1",0.431034482758621,"SMCs",0.0065359477124183,"VECs","other"
"87410","ADM","RAMP2",0.0344827586206897,"SMCs",0.0816901408450704,"Fibroblasts","other"
"7916","CLCF1","IL6ST",0.0253521126760563,"Fibroblasts",0.111111111111111,"T cells","other"
"9420","COL4A3","ITGA1",0.00563380281690141,"Fibroblasts",0.5,"SMCs","other"
"29093","PLAT","ITGB2",0.126760563380282,"Fibroblasts",0.0222222222222222,"VECs","other"
"19921","HSP90B1","LRP1",0.853448275862069,"SMCs",0.0033003300330033,"T cells","other"
"19630","HRAS","AGTR1",0.0297029702970297,"T cells",0.0948275862068965,"SMCs","other"
"31122","RARRES2","CMKLR1",0.612068965517241,"SMCs",0.00459770114942529,"NK cells","other"
"38058","VCAN","SELP",0.0114942528735632,"NK cells",0.244444444444444,"VECs","other"
